id,Datum,Warengruppe,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode
,2012-07-19,,,,7.0,15.8125,16,81
,2012-07-20,,,,6.0,15.25,16,80
,2012-07-21,,,,6.0,16.1625,16,
,2012-07-22,,,,4.0,18.325,12,
,2012-07-23,,,,2.0,22.483333,12,
,2012-07-25,,,,1.0,25.65,8,
,2012-07-26,,,,1.0,22.5875,8,
,2012-07-27,,,,1.0,26.075,10,
,2012-07-28,,,,7.0,18.95,14,63
,2012-07-29,,,,7.0,16.0375,8,61
,2012-07-30,,,,6.0,15.1875,10,95
,2012-07-31,,,,5.0,17.1625,12,
,2012-08-01,,,,6.0,21.0625,6,
,2012-08-02,,,,6.0,22.725,10,29
,2012-08-03,,,,4.0,20.6875,10,91
,2012-08-04,,,,6.0,18.225,6,61
,2012-08-05,,,,6.0,21.6125,4,
,2012-08-06,,,,5.0,19.575,16,80
,2012-08-07,,,,6.0,17.3125,14,80
,2012-08-08,,,,4.0,17.9,16,80
,2012-08-09,,,,5.0,18.35,12,
,2012-08-10,,,,6.0,17.3,14,25
,2012-08-11,,,,2.0,18.85,10,
,2012-08-12,,,,1.0,19.7875,12,
,2012-08-13,,,,2.0,20.0375,14,
,2012-08-14,,,,2.0,20.1625,12,
,2012-08-15,,,,1.0,20.4,14,
,2012-08-16,,,,6.0,17.325,10,63
,2012-08-17,,,,5.0,21.9375,8,
,2012-08-18,,,,6.0,27.525,8,
,2012-08-19,,,,2.0,26.875,8,
,2012-08-20,,,,3.0,26.15,16,
,2012-08-21,,,,6.0,20.8125,6,
,2012-08-22,,,,4.0,20.0125,18,
,2012-08-23,,,,5.0,19.8375,18,80
,2012-08-24,,,,7.0,16.2625,4,61
,2012-08-25,,,,6.0,18.8625,8,80
,2012-08-26,,,,6.0,17.325,14,95
,2012-08-27,,,,2.0,17.8625,12,
,2012-08-28,,,,7.0,19.5875,8,61
,2012-08-29,,,,4.0,20.6625,8,3
,2012-08-30,,,,7.0,19.2375,6,
,2012-08-31,,,,3.0,17.2875,14,
,2012-09-01,,,,6.0,16.6,12,
,2012-09-02,,,,6.0,19.15,14,
,2012-09-03,,,,4.0,19.475,12,
,2012-09-04,,,,4.0,20.5375,14,
,2012-09-05,,,,6.0,17.1375,14,80
,2012-09-06,,,,7.0,16.1125,14,
,2012-09-07,,,,7.0,16.125,12,58
,2012-09-08,,,,5.0,18.4625,16,51
,2012-09-09,,,,4.0,21.075,6,
,2012-09-10,,,,4.0,23.125,12,
,2012-09-11,,,,7.0,17.0875,12,61
,2012-09-12,,,,4.0,13.9625,12,80
,2012-09-13,,,,3.0,15.1,8,
,2012-09-14,,,,8.0,13.7125,16,61
,2012-09-15,,,,6.0,15.625,18,80
,2012-09-16,,,,3.0,18.35,12,
,2012-09-17,,,,4.0,17.4375,14,25
,2012-09-18,,,,6.0,15.0375,14,80
,2012-09-19,,,,5.0,10.6375,16,81
,2012-09-20,,,,6.0,11.4875,12,80
,2012-09-21,,,,7.0,14.25,14,21
,2012-09-22,,,,5.0,11.5,14,25
,2012-09-23,,,,4.0,13.65,10,
,2012-09-24,,,,8.0,10.4125,16,61
,2012-09-25,,,,7.0,14.925,10,80
,2012-09-26,,,,7.0,12.5625,6,61
,2012-09-27,,,,7.0,13.2,10,61
,2012-09-28,,,,6.0,13.5625,12,
,2012-09-29,,,,5.0,13.2625,16,25
,2012-09-30,,,,4.0,13.875,14,25
,2012-10-01,,,,7.0,13.8625,10,
,2012-10-02,,,,6.0,15.1625,10,10
,2012-10-03,,,,7.0,14.175,12,65
,2012-10-04,,,,7.0,10.45,10,80
,2012-10-05,,,,7.0,9.7375,14,61
,2012-10-08,,,,4.0,12.4375,12,80
,2012-10-09,,,,1.0,10.9875,19,80
,2012-10-10,,,,5.0,10.1,12,80
,2012-10-11,,,,4.0,11.4375,6,
,2012-10-12,,,,6.0,10.1375,10,61
,2012-10-15,,,,6.0,9.5875,10,51
,2012-10-16,,,,7.0,10.8875,12,61
,2012-10-17,,,,7.0,12.1,12,21
,2012-10-18,,,,6.0,16.775,8,
,2012-10-19,,,,3.0,19.35,6,
,2012-10-22,,,,8.0,12.675,8,10
,2012-10-23,,,,8.0,11.8875,8,51
,2012-10-24,,,,8.0,10.9875,6,51
,2012-10-25,,,,6.0,8.7375,16,80
,2012-10-26,,,,5.0,5.1875,8,
,2012-10-29,,,,8.0,3.625,14,61
,2012-10-30,,,,4.0,7.0625,8,25
,2012-10-31,,,,6.0,7.95,10,10
,2012-11-01,,,,7.0,5.8125,10,
,2012-11-02,,,,7.0,7.475,12,21
,2012-11-05,,,,7.0,6.5875,10,61
,2012-11-06,,,,6.0,7.45,14,80
,2012-11-07,,,,7.0,10.3,16,51
,2012-11-08,,,,7.0,9.6625,16,80
,2012-11-09,,,,7.0,9.5,8,20
,2012-11-12,,,,6.0,7.3125,12,80
,2012-11-13,,,,7.0,7.2,8,10
,2012-11-14,,,,8.0,9.6625,6,10
,2012-11-15,,,,7.0,8.7125,6,5
,2012-11-16,,,,7.0,-0.275,6,10
,2012-11-19,,,,3.0,6.125,8,3
,2012-11-20,,,,6.0,7.675,8,10
,2012-11-21,,,,8.0,6.1875,12,10
,2012-11-22,,,,4.0,9.1,14,3
,2012-11-23,,,,7.0,6.7,10,61
,2012-11-26,,,,6.0,8.1625,10,
,2012-11-27,,,,7.0,7.625,8,20
,2012-11-28,,,,8.0,5.325,8,51
,2012-11-29,,,,7.0,3.4625,14,61
,2012-11-30,,,,2.0,0.725,10,
,2012-12-03,,,,8.0,1.033333,8,10
,2012-12-04,,,,7.0,1.375,8,69
,2012-12-05,,,,2.0,-4.7875,10,
,2012-12-06,,,,1.0,-4.45,8,
,2012-12-07,,,,4.0,-1.7875,8,10
,2012-12-10,,,,8.0,0.1875,18,71
,2012-12-11,,,,6.0,-1.8625,14,
,2012-12-12,,,,3.0,-5.7375,4,10
,2012-12-13,,,,7.0,-2.0625,4,78
,2012-12-14,,,,7.0,-2.6875,10,10
,2012-12-17,,,,8.0,4.1875,4,47
,2012-12-18,,,,8.0,3.6375,10,61
,2012-12-19,,,,7.0,2.8625,6,20
,2012-12-20,,,,7.0,2.0875,12,5
,2012-12-21,,,,7.0,-0.2125,10,13
,2013-04-30,,,,3.0,11.116666,15,0
,2013-05-01,,,,0.0,9.9,11,
,2013-05-02,,,,1.0,11.0375,12,
,2013-05-03,,,,0.0,12.9125,9,
,2013-05-04,,,,0.0,17.95,18,
,2013-05-05,,,,3.0,16.2125,10,
,2013-05-06,,,,0.0,15.675,8,
,2013-05-07,,,,1.0,17.4125,10,21
,2013-05-08,,,,4.0,18.8125,9,21
,2013-05-09,,,,7.0,16.125,11,21
,2013-05-10,,,,5.0,15.5,12,21
,2013-05-11,,,,7.0,15.4125,11,
,2013-05-12,,,,7.0,11.7125,12,61
,2013-05-13,,,,7.0,11.4375,10,65
,2013-05-14,,,,5.0,12.6,10,21
,2013-05-15,,,,4.0,20.5375,10,61
,2013-05-16,,,,0.0,16.1625,13,5
,2013-05-17,,,,0.0,21.3125,11,5
,2013-05-18,,,,7.0,13.85,12,10
,2013-05-19,,,,8.0,13.05,5,20
,2013-05-20,,,,7.0,15.775,8,21
,2013-05-21,,,,7.0,12.525,9,65
,2013-05-22,,,,7.0,9.0625,23,63
,2013-05-23,,,,5.0,10.525,8,61
,2013-05-24,,,,5.0,12.5,8,61
,2013-05-25,,,,7.0,11.3375,11,63
,2013-05-26,,,,7.0,14.1625,15,63
,2013-05-27,,,,6.0,14.7875,10,
,2013-05-28,,,,6.0,15.4,10,20
,2013-05-29,,,,7.0,13.6625,14,61
,2013-05-30,,,,4.0,16.125,11,21
,2013-05-31,,,,3.0,17.65,12,
,2013-06-01,,,,3.0,20.3875,10,21
,2013-06-02,,,,2.0,14.975,18,
,2013-06-03,,,,0.0,17.35,13,
,2013-06-04,,,,3.0,17.1625,15,
,2013-06-05,,,,4.0,19.0875,9,
,2013-06-06,,,,0.0,20.85,12,
,2013-06-07,,,,0.0,19.7,8,
,2013-06-08,,,,1.0,16.9625,9,
,2013-06-09,,,,4.0,15.8875,7,
,2013-06-10,,,,2.0,17.725,8,0
,2013-06-11,,,,2.0,16.6625,9,
,2013-06-12,,,,5.0,22.35,7,
,2013-06-14,,,,2.0,16.7125,16,0
,2013-06-15,,,,6.0,17.0875,27,61
,2013-06-16,,,,7.0,15.5875,16,21
,2013-06-17,,,,0.0,17.9,8,
,2013-06-18,,,,1.0,20.05,10,0
,2013-06-19,,,,6.0,23.5375,10,63
,2013-06-20,,,,2.0,21.8375,10,
,2013-06-21,,,,7.0,19.575,14,63
,2013-06-22,,,1,6.0,19.7375,10,
,2013-06-23,,,1,6.0,17.5375,10,21
,2013-06-24,,,1,7.0,15.95,12,63
,2013-06-25,,,1,7.0,15.175,10,21
,2013-06-26,,,1,7.0,13.825,18,61
,2013-06-27,,,1,7.0,12.55,10,61
,2013-06-28,,,1,7.0,13.05,10,61
,2013-06-29,,,1,6.0,14.8375,16,61
,2013-06-30,,,1,7.0,14.0125,15,63
1307011.0,2013-07-01,1,148.828353112183,,6.0,17.8375,15,20
1307012.0,2013-07-01,2,535.856284785361,,6.0,17.8375,15,20
1307013.0,2013-07-01,3,201.198425690037,,6.0,17.8375,15,20
1307014.0,2013-07-01,4,65.890168799361,,6.0,17.8375,15,20
1307015.0,2013-07-01,5,317.475874933038,,6.0,17.8375,15,20
1307021.0,2013-07-02,1,159.79375714468,,3.0,17.3125,10,
1307022.0,2013-07-02,2,546.780787392297,,3.0,17.3125,10,
1307023.0,2013-07-02,3,265.261253994438,,3.0,17.3125,10,
1307024.0,2013-07-02,4,74.5439171827412,,3.0,17.3125,10,
1307025.0,2013-07-02,5,383.628681612577,,3.0,17.3125,10,
1307031.0,2013-07-03,1,111.885593514353,,7.0,21.075,6,61
1307032.0,2013-07-03,2,427.343258749983,,7.0,21.075,6,61
1307033.0,2013-07-03,3,210.260241465493,,7.0,21.075,6,61
1307034.0,2013-07-03,4,69.2627280649987,,7.0,21.075,6,61
1307035.0,2013-07-03,5,305.523072325318,,7.0,21.075,6,61
1307041.0,2013-07-04,1,168.864940979931,,7.0,18.85,7,20
1307042.0,2013-07-04,2,454.859641347987,,7.0,18.85,7,20
1307043.0,2013-07-04,3,190.686641378586,,7.0,18.85,7,20
1307044.0,2013-07-04,4,61.490175369225,,7.0,18.85,7,20
1307045.0,2013-07-04,5,308.408167942149,,7.0,18.85,7,20
1307051.0,2013-07-05,1,171.280754117955,,5.0,19.975,12,
1307052.0,2013-07-05,2,492.818804066088,,5.0,19.975,12,
1307053.0,2013-07-05,3,181.644870215041,,5.0,19.975,12,
1307054.0,2013-07-05,4,86.7598614451924,,5.0,19.975,12,
1307055.0,2013-07-05,5,355.518770367742,,5.0,19.975,12,
1307061.0,2013-07-06,1,174.552359998476,,0.0,18.9625,8,
1307062.0,2013-07-06,2,631.906068038484,,0.0,18.9625,8,
1307063.0,2013-07-06,3,291.557959835153,,0.0,18.9625,8,
1307064.0,2013-07-06,4,80.6465768881107,,0.0,18.9625,8,
1307065.0,2013-07-06,5,361.866932797941,,0.0,18.9625,8,
1307071.0,2013-07-07,1,92.6377553788373,,0.0,21.375,9,
1307072.0,2013-07-07,2,695.25572963054,,0.0,21.375,9,
1307073.0,2013-07-07,3,279.665938833443,,0.0,21.375,9,
1307074.0,2013-07-07,4,94.6039024817053,,0.0,21.375,9,
1307075.0,2013-07-07,5,370.20960108863,,0.0,21.375,9,
1307081.0,2013-07-08,1,135.500244042392,,0.0,22.725,10,5
1307082.0,2013-07-08,2,538.529249911711,,0.0,22.725,10,5
1307083.0,2013-07-08,3,195.158794309303,,0.0,22.725,10,5
1307084.0,2013-07-08,4,49.5000238633042,,0.0,22.725,10,5
1307085.0,2013-07-08,5,285.233382496522,,0.0,22.725,10,5
1307091.0,2013-07-09,1,136.048382778344,,0.0,23.275,8,
1307092.0,2013-07-09,2,585.957264698849,,0.0,23.275,8,
1307093.0,2013-07-09,3,245.808338509722,,0.0,23.275,8,
1307094.0,2013-07-09,4,75.2089975834558,,0.0,23.275,8,
1307095.0,2013-07-09,5,342.089345776475,,0.0,23.275,8,
1307101.0,2013-07-10,1,135.132314289581,,2.0,19.6875,13,5
1307102.0,2013-07-10,2,567.365764527953,,2.0,19.6875,13,5
1307103.0,2013-07-10,3,265.109142544045,,2.0,19.6875,13,5
1307104.0,2013-07-10,4,73.8056511129258,,2.0,19.6875,13,5
1307105.0,2013-07-10,5,343.353066508123,,2.0,19.6875,13,5
1307111.0,2013-07-11,1,138.549392636714,,0.0,21.375,12,5
1307112.0,2013-07-11,2,569.109374584873,,0.0,21.375,12,5
1307113.0,2013-07-11,3,234.65807920749,,0.0,21.375,12,5
1307114.0,2013-07-11,4,68.6330279122302,,0.0,21.375,12,5
1307115.0,2013-07-11,5,315.911756962233,,0.0,21.375,12,5
1307121.0,2013-07-12,1,101.447511461298,,0.0,20.2875,7,
1307122.0,2013-07-12,2,600.267914678783,,0.0,20.2875,7,
1307123.0,2013-07-12,3,290.199097765019,,0.0,20.2875,7,
1307125.0,2013-07-12,5,362.802489634211,,0.0,20.2875,7,
1307131.0,2013-07-13,1,141.233309883732,,1.0,20.125,12,
1307132.0,2013-07-13,2,747.140776382576,,1.0,20.125,12,
1307133.0,2013-07-13,3,340.046632736531,,1.0,20.125,12,
1307134.0,2013-07-13,4,74.2744737887665,,1.0,20.125,12,
1307135.0,2013-07-13,5,359.166188843392,,1.0,20.125,12,
1307141.0,2013-07-14,1,112.524365708762,,5.0,17.6875,15,5
1307142.0,2013-07-14,2,777.048841669282,,5.0,17.6875,15,5
1307143.0,2013-07-14,3,320.626816189556,,5.0,17.6875,15,5
1307144.0,2013-07-14,4,115.271617188867,,5.0,17.6875,15,5
1307145.0,2013-07-14,5,461.082124524619,,5.0,17.6875,15,5
1307151.0,2013-07-15,1,161.264677322182,,6.0,18.7375,12,
1307152.0,2013-07-15,2,596.995099998235,,6.0,18.7375,12,
1307153.0,2013-07-15,3,243.526401440661,,6.0,18.7375,12,
1307154.0,2013-07-15,4,99.4935305857439,,6.0,18.7375,12,
1307155.0,2013-07-15,5,380.68369651152,,6.0,18.7375,12,
1307161.0,2013-07-16,1,116.821358174215,,1.0,21.1875,10,
1307162.0,2013-07-16,2,558.797138274201,,1.0,21.1875,10,
1307163.0,2013-07-16,3,287.415464972525,,1.0,21.1875,10,
1307164.0,2013-07-16,4,91.7796976081033,,1.0,21.1875,10,
1307165.0,2013-07-16,5,320.43533597922,,1.0,21.1875,10,
1307171.0,2013-07-17,1,150.572919592838,,5.0,22.5125,8,
1307172.0,2013-07-17,2,628.325718978073,,5.0,22.5125,8,
1307173.0,2013-07-17,3,301.777437970497,,5.0,22.5125,8,
1307175.0,2013-07-17,5,396.99424714406,,5.0,22.5125,8,
1307181.0,2013-07-18,1,101.90072129658,,1.0,23.25,11,5
1307182.0,2013-07-18,2,647.822253705942,,1.0,23.25,11,5
1307183.0,2013-07-18,3,250.426586853024,,1.0,23.25,11,5
1307184.0,2013-07-18,4,89.2058404577425,,1.0,23.25,11,5
1307185.0,2013-07-18,5,300.398790118057,,1.0,23.25,11,5
1307191.0,2013-07-19,1,161.63511518654,,3.0,22.475,16,5
1307192.0,2013-07-19,2,646.788959790823,,3.0,22.475,16,5
1307193.0,2013-07-19,3,287.18828629416,,3.0,22.475,16,5
1307194.0,2013-07-19,4,62.0636098816993,,3.0,22.475,16,5
1307195.0,2013-07-19,5,369.400389277533,,3.0,22.475,16,5
1307201.0,2013-07-20,1,134.328076682024,,0.0,23.1875,8,
1307202.0,2013-07-20,2,843.051280035386,,0.0,23.1875,8,
1307203.0,2013-07-20,3,394.765674710477,,0.0,23.1875,8,
1307204.0,2013-07-20,4,69.9369965472912,,0.0,23.1875,8,
1307205.0,2013-07-20,5,346.154004294146,,0.0,23.1875,8,
1307211.0,2013-07-21,1,66.2887578161955,,0.0,26.375,8,
1307212.0,2013-07-21,2,815.942264195776,,0.0,26.375,8,
1307213.0,2013-07-21,3,346.658236387984,,0.0,26.375,8,
1307214.0,2013-07-21,4,82.6826868784511,,0.0,26.375,8,
1307215.0,2013-07-21,5,287.443788531561,,0.0,26.375,8,
1307221.0,2013-07-22,1,131.223948997842,,0.0,26.1,9,
1307222.0,2013-07-22,2,647.682748973215,,0.0,26.1,9,
1307223.0,2013-07-22,3,297.712614415266,,0.0,26.1,9,
1307224.0,2013-07-22,4,99.3353908053911,,0.0,26.1,9,
1307225.0,2013-07-22,5,356.484067206325,,0.0,26.1,9,
1307231.0,2013-07-23,1,110.315246796665,,0.0,24.95,12,
1307232.0,2013-07-23,2,691.043662205889,,0.0,24.95,12,
1307233.0,2013-07-23,3,323.301431663341,,0.0,24.95,12,
1307234.0,2013-07-23,4,70.5290024618065,,0.0,24.95,12,
1307235.0,2013-07-23,5,316.29681714496,,0.0,24.95,12,
1307241.0,2013-07-24,1,141.891908195545,,3.0,24.075,11,
1307242.0,2013-07-24,2,698.340862077002,,3.0,24.075,11,
1307243.0,2013-07-24,3,328.023102507764,,3.0,24.075,11,
1307244.0,2013-07-24,4,83.5816326885927,,3.0,24.075,11,
1307245.0,2013-07-24,5,327.339400651794,,3.0,24.075,11,
1307251.0,2013-07-25,1,167.701216640907,,2.0,23.0875,9,
1307252.0,2013-07-25,2,681.250768331783,,2.0,23.0875,9,
1307253.0,2013-07-25,3,280.809721012322,,2.0,23.0875,9,
1307254.0,2013-07-25,4,65.8902979709521,,2.0,23.0875,9,
1307255.0,2013-07-25,5,303.192537586556,,2.0,23.0875,9,
1307261.0,2013-07-26,1,147.272084366206,,3.0,27.2625,6,
1307262.0,2013-07-26,2,718.016648132155,,3.0,27.2625,6,
1307263.0,2013-07-26,3,352.293883343641,,3.0,27.2625,6,
1307264.0,2013-07-26,4,53.1984562311259,,3.0,27.2625,6,
1307265.0,2013-07-26,5,331.522091778847,,3.0,27.2625,6,
1307271.0,2013-07-27,1,161.403357795112,,1.0,26.1625,10,
1307272.0,2013-07-27,2,855.619095347599,,1.0,26.1625,10,
1307273.0,2013-07-27,3,382.965879977945,,1.0,26.1625,10,
1307275.0,2013-07-27,5,358.892714466409,,1.0,26.1625,10,
1307281.0,2013-07-28,1,86.0791432446654,,4.0,24.8875,13,61
1307282.0,2013-07-28,2,871.802546455837,,4.0,24.8875,13,61
