id,Datum,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,Woche,Monat,Wochentag,Feiertag,Jahreszeit
1701141,2017-01-14,1,128.56240804852,2.0,1.75,10.0,61,0,2,1,6,0,1
1701151,2017-01-15,1,57.5415780818905,5.0,1.375,10.0,71,0,2,1,7,0,1
1701161,2017-01-16,1,88.9021282031328,0.0,0.25,9.0,0,0,3,1,1,0,1
1701171,2017-01-17,1,82.1819950215278,7.0,0.5,4.0,10,0,3,1,2,0,1
1701181,2017-01-18,1,88.8649502286419,7.0,0.125,8.0,20,0,3,1,3,0,1
1701191,2017-01-19,1,119.723025026725,8.0,1.5,8.0,61,0,3,1,4,0,1
1701201,2017-01-20,1,87.1766818830841,8.0,3.625,5.0,21,0,3,1,5,0,1
1701211,2017-01-21,1,107.032520387605,7.0,5.75,5.0,10,0,3,1,6,0,1
1701221,2017-01-22,1,57.9895653139982,8.0,1.375,5.0,10,0,3,1,7,0,1
1701231,2017-01-23,1,86.9879013792807,7.0,1.125,8.0,10,0,4,1,1,0,1
1701241,2017-01-24,1,95.5104682174382,7.0,1.875,8.0,45,0,4,1,2,0,1
1701251,2017-01-25,1,64.9830364754336,7.0,-1.25,6.0,49,0,4,1,3,0,1
1701261,2017-01-26,1,116.676851600561,6.0,1.0,7.0,10,0,4,1,4,0,1
1701271,2017-01-27,1,88.2521352952121,0.0,2.142857,7.0,5,0,4,1,5,0,1
1701281,2017-01-28,1,119.776887506826,1.0,2.875,5.0,5,0,4,1,6,0,1
1701291,2017-01-29,1,30.3865291347707,7.0,4.75,8.0,61,0,4,1,7,0,1
1701301,2017-01-30,1,95.5900521407205,7.0,2.625,13.0,61,0,5,1,1,0,1
1701311,2017-01-31,1,92.8994636837401,7.0,3.125,15.0,10,0,5,1,2,0,1
1702011,2017-02-01,1,66.5673255870155,7.0,1.125,8.0,20,0,5,2,3,0,1
1702021,2017-02-02,1,89.9254398203578,7.0,1.75,6.0,61,0,5,2,4,0,1
1702031,2017-02-03,1,78.3684128353329,7.0,1.625,6.0,45,0,5,2,5,0,1
1702041,2017-02-04,1,108.219789178826,7.0,5.75,6.0,61,0,5,2,6,0,1
1702051,2017-02-05,1,57.4532745562637,8.0,2.0,10.0,61,0,5,2,7,0,1
1702061,2017-02-06,1,132.177431806535,7.0,2.5,12.0,61,0,6,2,1,0,1
1702071,2017-02-07,1,132.849204976505,7.0,0.0,12.0,77,0,6,2,2,0,1
1702081,2017-02-08,1,117.004984635316,8.0,-2.0,8.0,77,0,6,2,3,0,1
1702091,2017-02-09,1,119.337453228786,8.0,-2.125,11.0,22,0,6,2,4,0,1
1702101,2017-02-10,1,121.144021086338,7.0,-1.75,16.0,10,0,6,2,5,0,1
1702111,2017-02-11,1,100.989205252472,7.0,0.0,17.0,0,0,6,2,6,0,1
1702121,2017-02-12,1,44.557352092852,8.0,0.375,17.0,10,0,6,2,7,0,1
1702131,2017-02-13,1,119.108720290684,0.0,-0.25,10.0,10,0,7,2,1,0,1
1702141,2017-02-14,1,141.073519448693,2.0,-0.75,8.0,49,0,7,2,2,0,1
1702151,2017-02-15,1,100.825877196342,0.0,5.875,4.0,5,0,7,2,3,0,1
1702161,2017-02-16,1,146.826941839259,7.0,6.25,10.0,61,0,7,2,4,0,1
1702171,2017-02-17,1,151.638373911674,7.0,6.0,9.0,61,0,7,2,5,0,1
1702181,2017-02-18,1,141.71660063089,7.0,4.625,12.0,20,0,7,2,6,0,1
1702191,2017-02-19,1,62.0097969516182,7.0,5.625,8.0,61,0,7,2,7,0,1
1702201,2017-02-20,1,66.0328545899126,7.0,8.0,16.0,61,0,8,2,1,0,1
1702211,2017-02-21,1,109.49615849071,6.0,7.625,18.0,61,0,8,2,2,0,1
1702221,2017-02-22,1,61.7410274782351,6.0,7.375,20.0,61,0,8,2,3,0,1
1702231,2017-02-23,1,83.2419409328517,7.0,4.375,22.0,63,0,8,2,4,0,1
1702241,2017-02-24,1,125.53740598929,1.0,4.125,15.0,21,0,8,2,5,0,1
1702251,2017-02-25,1,115.341612709924,7.0,3.375,12.0,61,0,8,2,6,0,1
1702261,2017-02-26,1,51.7803618656751,7.0,7.5,11.0,61,0,8,2,7,0,1
1702271,2017-02-27,1,122.569495991968,8.0,10.75,11.0,61,0,9,2,1,0,1
1702281,2017-02-28,1,83.0765621031534,6.0,6.0,15.0,21,0,9,2,2,0,1
1703011,2017-03-01,1,125.217450323725,6.0,5.0,14.0,63,0,9,3,3,0,1
1703021,2017-03-02,1,129.890356481374,3.0,6.5,16.0,21,0,9,3,4,0,1
1703031,2017-03-03,1,87.3180596980489,2.0,8.375,10.0,0,0,9,3,5,0,1
1703041,2017-03-04,1,98.7435434121811,6.0,9.125,5.0,5,0,9,3,6,0,1
1703051,2017-03-05,1,34.5835550634367,7.0,7.375,12.0,61,0,9,3,7,0,1
1703061,2017-03-06,1,89.6750437494664,8.0,3.75,17.0,0,0,10,3,1,0,1
1703071,2017-03-07,1,100.15087379542,7.0,1.75,7.0,20,0,10,3,2,0,1
1703081,2017-03-08,1,94.9229502187465,6.0,5.75,9.0,61,0,10,3,3,0,1
1703091,2017-03-09,1,111.351351910469,7.0,7.375,8.0,21,0,10,3,4,0,1
1703101,2017-03-10,1,100.450621108239,4.0,8.75,16.0,0,0,10,3,5,0,1
1703111,2017-03-11,1,121.869883897373,2.0,7.75,9.0,0,0,10,3,6,0,1
1703121,2017-03-12,1,95.7356255719552,6.0,6.375,9.0,61,0,10,3,7,0,1
1703131,2017-03-13,1,120.053295378394,7.0,6.625,7.0,5,0,11,3,1,0,1
1703141,2017-03-14,1,87.0000890332702,6.0,10.5,13.0,0,0,11,3,2,0,1
1703151,2017-03-15,1,92.6236598779842,0.0,9.25,16.0,5,0,11,3,3,0,1
1703161,2017-03-16,1,110.643982291844,5.0,11.75,9.0,0,0,11,3,4,0,1
1703171,2017-03-17,1,112.504534119038,6.0,6.75,18.0,63,0,11,3,5,0,1
1703181,2017-03-18,1,106.208725638613,5.0,6.875,22.0,21,0,11,3,6,0,1
1703191,2017-03-19,1,36.557110132907,8.0,3.875,9.0,79,0,11,3,7,0,1
1703201,2017-03-20,1,97.3489147113908,7.0,10.25,8.0,61,0,12,3,1,0,1
1703211,2017-03-21,1,126.927370810771,5.0,8.75,20.0,21,0,12,3,2,0,2
1703221,2017-03-22,1,101.415037514976,0.0,10.75,11.0,0,0,12,3,3,0,2
1703231,2017-03-23,1,100.177760988448,4.0,8.125,11.0,61,0,12,3,4,0,2
1703241,2017-03-24,1,128.368364908016,0.0,10.5,7.0,0,0,12,3,5,0,2
1703251,2017-03-25,1,97.8900868337535,3.0,9.875,12.0,0,0,12,3,6,0,2
1703261,2017-03-26,1,85.2187867213704,3.0,9.375,7.0,0,0,12,3,7,0,2
1703271,2017-03-27,1,162.660207279858,0.0,12.5,11.0,10,0,13,3,1,0,2
1703281,2017-03-28,1,107.613301109633,0.0,13.875,7.0,0,0,13,3,2,0,2
1703291,2017-03-29,1,141.002747009982,8.0,10.0,13.0,21,0,13,3,3,0,2
1703301,2017-03-30,1,151.539022676893,7.0,16.0,12.0,61,0,13,3,4,0,2
1703311,2017-03-31,1,195.105275573427,0.0,19.75,7.0,61,0,13,3,5,0,2
1704011,2017-04-01,1,224.207429968001,2.0,15.75,7.0,0,0,13,4,6,0,2
1704021,2017-04-02,1,90.4108850533697,2.0,13.375,13.0,0,0,13,4,7,0,2
1704031,2017-04-03,1,187.854069053637,2.0,10.375,8.0,61,0,14,4,1,0,2
1704041,2017-04-04,1,167.875773750993,2.0,12.625,8.0,0,0,14,4,2,0,2
1704051,2017-04-05,1,98.318686836073,5.0,9.875,18.0,21,0,14,4,3,0,2
1704061,2017-04-06,1,142.738966819238,6.0,10.0,17.0,0,0,14,4,4,0,2
1704071,2017-04-07,1,153.13878108102,6.0,11.125,18.0,20,0,14,4,5,0,2
1704081,2017-04-08,1,183.065412513501,7.0,10.875,12.0,61,0,14,4,6,0,2
1704091,2017-04-09,1,78.3925102817988,0.0,16.0,9.0,5,0,14,4,7,0,2
1704101,2017-04-10,1,157.029670654949,7.0,9.5,19.0,21,0,15,4,1,0,2
1704111,2017-04-11,1,142.450858065516,5.0,8.75,18.0,21,0,15,4,2,0,2
1704121,2017-04-12,1,127.466200723679,7.0,8.75,13.0,61,0,15,4,3,0,2
1704131,2017-04-13,1,357.843060948626,7.0,9.0,18.0,61,0,15,4,4,0,2
1704151,2017-04-15,1,396.16076955053,6.0,8.125,23.0,63,0,15,4,6,0,2
1704161,2017-04-16,1,87.2043256933579,7.0,6.875,7.0,61,0,15,4,7,0,2
1704171,2017-04-17,1,23.1962791847882,6.0,6.25,10.0,61,0,16,4,1,0,2
1704181,2017-04-18,1,123.947010890956,4.0,5.625,15.0,21,0,16,4,2,0,2
1704191,2017-04-19,1,107.21034333897,0.0,6.375,10.0,0,0,16,4,3,0,2
1704201,2017-04-20,1,145.310365058131,7.0,8.25,12.0,21,0,16,4,4,0,2
1704211,2017-04-21,1,124.895216030507,7.0,11.875,19.0,61,0,16,4,5,0,2
1704221,2017-04-22,1,81.3906991756264,5.0,7.5,21.0,61,0,16,4,6,0,2
1704231,2017-04-23,1,54.169922075821,4.0,7.875,20.0,21,0,16,4,7,0,2
1704241,2017-04-24,1,92.4677986737874,7.0,8.875,17.0,63,0,17,4,1,0,2
1704251,2017-04-25,1,80.9218016064876,5.0,5.5,15.0,69,0,17,4,2,0,2
1704261,2017-04-26,1,82.1124954906633,6.0,7.625,7.0,61,0,17,4,3,0,2
1704271,2017-04-27,1,98.0715104557433,6.0,8.625,13.0,61,0,17,4,4,0,2
1704281,2017-04-28,1,125.456981753476,7.0,8.625,10.0,61,0,17,4,5,0,2
1704291,2017-04-29,1,123.277101467222,4.0,7.125,9.0,61,0,17,4,6,0,2
1704301,2017-04-30,1,60.2450021630226,1.0,11.875,12.0,0,0,17,4,7,0,2
1705021,2017-05-02,1,155.095888788648,2.0,10.875,21.0,5,0,18,5,2,0,2
1705031,2017-05-03,1,118.326086080103,3.0,11.25,20.0,5,0,18,5,3,0,2
1705041,2017-05-04,1,149.956078967988,7.0,10.625,19.0,0,0,18,5,4,0,2
1705051,2017-05-05,1,86.0402504738117,7.0,8.25,15.0,61,0,18,5,5,0,2
1705061,2017-05-06,1,137.068189796743,7.0,11.0,7.0,0,0,18,5,6,0,2
1705071,2017-05-07,1,89.0086685072793,0.0,17.125,9.0,0,0,18,5,7,0,2
1705081,2017-05-08,1,148.83378586129,1.0,9.75,19.0,5,0,19,5,1,0,2
1705091,2017-05-09,1,94.3672716433608,4.0,10.0,12.0,21,0,19,5,2,0,2
1705101,2017-05-10,1,110.05390644857,7.0,9.25,11.0,61,0,19,5,3,0,2
1705111,2017-05-11,1,142.677183364091,0.0,13.375,14.0,21,0,19,5,4,0,2
1705121,2017-05-12,1,155.268162620008,7.0,12.75,13.0,61,0,19,5,5,0,2
1705131,2017-05-13,1,132.162595452678,6.0,17.875,6.0,21,0,19,5,6,0,2
1705141,2017-05-14,1,81.7822715275506,2.0,18.75,12.0,0,0,19,5,7,0,2
1705151,2017-05-15,1,152.569401591519,3.0,17.375,9.0,0,0,20,5,1,0,2
1705161,2017-05-16,1,133.170424802247,7.0,14.125,8.0,61,0,20,5,2,0,2
1705171,2017-05-17,1,80.7776768540183,6.0,23.125,7.0,21,0,20,5,3,0,2
1705181,2017-05-18,1,103.501730355572,4.0,23.125,12.0,21,0,20,5,4,0,2
1705191,2017-05-19,1,84.0165889848927,6.0,17.375,7.0,21,0,20,5,5,0,2
1705201,2017-05-20,1,174.274302653978,4.0,16.0,12.0,21,0,20,5,6,0,2
1705211,2017-05-21,1,55.8214595630896,1.0,18.625,12.0,21,0,20,5,7,0,2
1705221,2017-05-22,1,138.415948678585,0.0,17.75,9.0,61,0,21,5,1,0,2
1705231,2017-05-23,1,96.780584678581,4.0,22.125,15.0,95,0,21,5,2,0,2
1705241,2017-05-24,1,136.939147637809,3.0,17.125,18.0,0,0,21,5,3,0,2
1705251,2017-05-25,1,83.9282232026622,2.0,18.875,12.0,61,0,21,5,4,0,2
1705261,2017-05-26,1,127.227158892085,0.0,20.75,6.0,0,0,21,5,5,0,2
1705271,2017-05-27,1,128.587609179322,0.0,24.75,7.0,61,0,21,5,6,0,2
1705281,2017-05-28,1,72.2162693070431,1.0,22.375,14.0,61,0,21,5,7,0,2
1705291,2017-05-29,1,138.960680835425,5.0,18.75,7.0,0,0,22,5,1,0,2
1705301,2017-05-30,1,112.762433854322,6.0,20.5,14.0,5,0,22,5,2,0,2
1705311,2017-05-31,1,128.075086840652,5.0,15.5,18.0,5,0,22,5,3,0,2
1706011,2017-06-01,1,122.612602773757,0.0,17.375,12.0,5,0,22,6,4,0,2
1706021,2017-06-02,1,109.568315162716,0.0,20.25,9.0,5,0,22,6,5,0,2
1706031,2017-06-03,1,147.340788187836,7.0,17.5,5.0,61,0,22,6,6,0,2
1706041,2017-06-04,1,71.186698283748,5.0,17.125,14.0,61,0,22,6,7,0,2
1706051,2017-06-05,1,51.613320416559,1.0,20.125,9.0,0,0,23,6,1,0,2
1706061,2017-06-06,1,129.923307518664,4.0,21.625,10.0,61,0,23,6,2,0,2
1706071,2017-06-07,1,96.3261708017248,7.0,12.25,14.0,63,0,23,6,3,0,2
1706081,2017-06-08,1,109.25094379784,7.0,14.875,8.0,61,0,23,6,4,0,2
1706091,2017-06-09,1,146.050825934372,6.0,20.25,14.0,95,0,23,6,5,0,2
1706101,2017-06-10,1,155.244457489777,5.0,19.25,10.0,0,0,23,6,6,0,2
1706111,2017-06-11,1,71.2809920560123,2.0,25.0,11.0,61,0,23,6,7,0,2
1706121,2017-06-12,1,134.798408035579,7.0,16.25,16.0,61,0,24,6,1,0,2
1706131,2017-06-13,1,118.641824642293,6.0,16.125,16.0,21,0,24,6,2,0,2
1706141,2017-06-14,1,107.822210054913,7.0,19.125,9.0,21,0,24,6,3,0,2
1706151,2017-06-15,1,121.510818120738,3.0,22.75,6.0,21,0,24,6,4,0,2
1706161,2017-06-16,1,159.386053748275,5.0,17.375,20.0,21,0,24,6,5,0,2
1706171,2017-06-17,1,152.587185601354,0.0,20.125,15.0,0,1,24,6,6,0,2
1706181,2017-06-18,1,75.1727854873289,2.0,24.25,9.0,21,1,24,6,7,0,2
1706191,2017-06-19,1,146.631334543439,1.0,25.375,7.0,0,1,25,6,1,0,2
1706201,2017-06-20,1,127.815304326711,0.0,20.75,12.0,0,1,25,6,2,0,2
1706211,2017-06-21,1,120.022105971466,3.0,18.75,10.0,61,1,25,6,3,0,2
1706221,2017-06-22,1,78.1688619382617,3.0,20.25,10.0,95,1,25,6,4,0,3
1706231,2017-06-23,1,160.591006007475,7.0,17.25,14.0,61,1,25,6,5,0,3
1706241,2017-06-24,1,213.304834757744,6.0,17.875,19.0,61,1,25,6,6,0,3
1706251,2017-06-25,1,69.3531645812572,7.0,17.25,16.0,20,1,25,6,7,0,3
1706261,2017-06-26,1,155.543228693566,3.0,17.375,16.0,21,0,26,6,1,0,3
1706271,2017-06-27,1,135.490018589734,3.0,16.375,9.0,21,0,26,6,2,0,3
1706281,2017-06-28,1,110.528030025808,6.0,19.75,18.0,21,0,26,6,3,0,3
1706291,2017-06-29,1,126.32363509346,7.0,17.875,8.0,61,0,26,6,4,0,3
1706301,2017-06-30,1,118.656267761961,7.0,14.875,11.0,63,0,26,6,5,0,3
1707011,2017-07-01,1,142.537037918789,7.0,17.625,10.0,21,0,26,7,6,0,3
1707021,2017-07-02,1,63.6146685898519,7.0,17.125,18.0,21,0,26,7,7,0,3
1707031,2017-07-03,1,144.589969427013,7.0,18.625,14.0,95,0,27,7,1,0,3
1707051,2017-07-05,1,137.917961104922,2.0,19.0,9.0,5,0,27,7,3,0,3
1707061,2017-07-06,1,170.80244658411,0.0,18.375,8.0,5,0,27,7,4,0,3
1707071,2017-07-07,1,136.561795937936,5.0,20.625,7.0,61,0,27,7,5,0,3
1707081,2017-07-08,1,156.573447907018,4.0,20.625,16.0,21,0,27,7,6,0,3
1707091,2017-07-09,1,76.246567028981,1.0,19.125,9.0,5,0,27,7,7,0,3
1707101,2017-07-10,1,140.641759507657,7.0,17.5,6.0,61,0,28,7,1,0,3
1707111,2017-07-11,1,134.174542819592,6.0,19.875,11.0,95,0,28,7,2,0,3
1707121,2017-07-12,1,92.5453856390347,7.0,14.75,12.0,61,0,28,7,3,0,3
1707131,2017-07-13,1,165.69253636193,6.0,16.875,15.0,61,0,28,7,4,0,3
1707141,2017-07-14,1,161.336234262394,3.0,19.5,8.0,61,0,28,7,5,0,3
1707151,2017-07-15,1,161.368243588646,7.0,18.75,10.0,21,0,28,7,6,0,3
1707161,2017-07-16,1,83.446445422438,8.0,17.375,9.0,61,0,28,7,7,0,3
1707171,2017-07-17,1,158.966094203543,6.0,18.5,12.0,0,0,29,7,1,0,3
1707181,2017-07-18,1,123.668309159157,5.0,18.75,7.0,0,0,29,7,2,0,3
1707191,2017-07-19,1,126.617460532105,1.0,22.5,13.0,0,0,29,7,3,0,3
1707201,2017-07-20,1,152.89730610752,7.0,21.5,5.0,61,0,29,7,4,0,3
1707211,2017-07-21,1,128.063478737945,2.0,20.5,10.0,0,0,29,7,5,0,3
1707221,2017-07-22,1,118.581655925728,7.0,18.5,9.0,63,0,29,7,6,0,3
1707231,2017-07-23,1,60.4808932763266,6.0,19.375,12.0,61,0,29,7,7,0,3
1707241,2017-07-24,1,171.708992805544,7.0,18.75,10.0,21,0,30,7,1,0,3
1707251,2017-07-25,1,129.504249202353,7.0,16.25,16.0,63,0,30,7,2,0,3
1707261,2017-07-26,1,182.444822422102,0.0,20.875,10.0,61,0,30,7,3,0,3
1707271,2017-07-27,1,239.066940896544,6.0,19.5,10.0,61,0,30,7,4,0,3
1707281,2017-07-28,1,184.323576306162,6.0,18.125,17.0,61,0,30,7,5,0,3
1707291,2017-07-29,1,202.431896081896,5.0,19.625,11.0,61,0,30,7,6,0,3
1707301,2017-07-30,1,65.4532794606465,5.0,24.0,11.0,61,0,30,7,7,0,3
1707311,2017-07-31,1,162.425333410717,2.0,22.75,9.0,21,0,31,7,1,0,3
1708011,2017-08-01,1,166.135486122073,6.0,21.375,7.0,21,0,31,8,2,0,3
1708021,2017-08-02,1,155.022099183108,5.0,21.375,8.0,61,0,31,8,3,0,3
1708031,2017-08-03,1,159.5753401745,7.0,20.125,10.0,95,0,31,8,4,0,3
1708041,2017-08-04,1,161.585238563032,6.0,19.625,18.0,21,0,31,8,5,0,3
1708051,2017-08-05,1,198.088094187281,4.0,20.125,12.0,21,0,31,8,6,0,3
1708061,2017-08-06,1,72.3122759066064,3.0,18.5,13.0,21,0,31,8,7,0,3
1708071,2017-08-07,1,172.028528903065,2.0,22.4875,8.0,61,0,32,8,1,0,3
1708081,2017-08-08,1,137.161092618244,6.0,23.0625,8.0,21,0,32,8,2,0,3
1708091,2017-08-09,1,138.409853223588,1.0,21.125,11.0,0,0,32,8,3,0,3
1708101,2017-08-10,1,144.270402110132,6.0,19.6,9.0,61,0,32,8,4,0,3
1708111,2017-08-11,1,180.959666237058,7.0,16.375,8.0,61,0,32,8,5,0,3
1708121,2017-08-12,1,150.572600694148,7.0,15.5625,8.0,61,0,32,8,6,0,3
1708131,2017-08-13,1,80.2751371635464,4.0,17.825,11.0,21,0,32,8,7,0,3
1708141,2017-08-14,1,161.757769956575,1.0,18.6375,12.0,0,0,33,8,1,0,3
1708151,2017-08-15,1,111.761335307047,2.0,25.0625,9.0,0,0,33,8,2,0,3
1708161,2017-08-16,1,126.034311313186,3.0,20.8625,8.0,0,0,33,8,3,0,3
1708171,2017-08-17,1,174.467285452882,5.0,21.8,10.0,63,0,33,8,4,0,3
1708181,2017-08-18,1,121.506482436341,6.0,19.6625,7.0,0,0,33,8,5,0,3
1708191,2017-08-19,1,160.328375151501,5.0,16.9375,11.0,63,0,33,8,6,0,3
1708201,2017-08-20,1,88.8323053510043,6.0,16.0125,10.0,61,0,33,8,7,0,3
1708211,2017-08-21,1,156.498349566742,7.0,17.2,15.0,61,0,34,8,1,0,3
1708221,2017-08-22,1,137.482146234831,4.0,17.6125,11.0,21,0,34,8,2,0,3
1708231,2017-08-23,1,146.200693986919,0.0,19.4375,9.0,5,0,34,8,3,0,3
1708241,2017-08-24,1,161.178424672584,3.0,19.4875,14.0,21,0,34,8,4,0,3
1708251,2017-08-25,1,121.67851633637,3.0,19.7625,13.0,21,0,34,8,5,0,3
1708261,2017-08-26,1,175.29635154451,4.0,19.525,7.0,0,0,34,8,6,0,3
1708271,2017-08-27,1,60.3904195840305,4.0,19.6625,13.0,21,0,34,8,7,0,3
1708281,2017-08-28,1,109.862269383009,4.0,20.5375,5.0,21,0,35,8,1,0,3
1708291,2017-08-29,1,140.114833354281,0.0,24.6,9.0,21,0,35,8,2,0,3
1708301,2017-08-30,1,117.705814678758,6.0,20.0,11.0,61,0,35,8,3,0,3
1708311,2017-08-31,1,110.484249613829,7.0,14.8875,11.0,61,0,35,8,4,0,3
1709011,2017-09-01,1,134.901921529808,4.0,17.3,7.0,61,0,35,9,5,0,3
1709021,2017-09-02,1,148.15323696572,4.0,16.525,8.0,21,0,35,9,6,0,3
1709031,2017-09-03,1,55.222134167446,3.0,17.4,7.0,0,0,35,9,7,0,3
1709041,2017-09-04,1,122.215195768898,0.0,18.2875,10.0,0,0,36,9,1,0,3
1709051,2017-09-05,1,128.680505002769,3.0,20.95,6.0,61,0,36,9,2,0,3
1709061,2017-09-06,1,86.9985590667094,7.0,18.2,17.0,63,0,36,9,3,0,3
1709071,2017-09-07,1,144.563178397192,5.0,17.2875,16.0,21,0,36,9,4,0,3
1709081,2017-09-08,1,129.928072228573,7.0,14.9375,10.0,61,0,36,9,5,0,3
1709091,2017-09-09,1,113.451966800961,7.0,15.025,9.0,61,0,36,9,6,0,3
1709101,2017-09-10,1,83.9548556625671,2.0,17.65,11.0,0,0,36,9,7,0,3
1709111,2017-09-11,1,148.173580794396,3.0,17.8625,11.0,21,0,37,9,1,0,3
1709121,2017-09-12,1,80.7563950180735,5.0,16.1,12.0,21,0,37,9,2,0,3
1709131,2017-09-13,1,103.419606846606,7.0,13.3375,20.0,63,0,37,9,3,0,3
1709141,2017-09-14,1,124.528915578366,7.0,13.2375,13.0,61,0,37,9,4,0,3
1709151,2017-09-15,1,177.095117317774,6.0,14.425,11.0,21,0,37,9,5,0,3
1709161,2017-09-16,1,237.243301445744,8.0,11.9125,6.0,61,0,37,9,6,0,3
1709171,2017-09-17,1,82.0164448112146,7.0,15.25,7.0,61,0,37,9,7,0,3
1709181,2017-09-18,1,135.443041598007,2.0,15.075,4.0,0,0,38,9,1,0,3
1709191,2017-09-19,1,127.007001847412,5.0,14.3875,8.0,65,0,38,9,2,0,3
1709201,2017-09-20,1,99.1792684718788,7.0,14.225,10.0,61,0,38,9,3,0,3
1709211,2017-09-21,1,134.427589001166,4.0,16.9625,7.0,10,0,38,9,4,0,3
1709221,2017-09-22,1,175.906900532966,1.0,15.5875,8.0,0,0,38,9,5,0,4
1709231,2017-09-23,1,179.921676845873,0.0,15.85,9.0,0,0,38,9,6,0,4
1709241,2017-09-24,1,101.793277925589,7.0,15.8125,9.0,53,0,38,9,7,0,4
1709251,2017-09-25,1,129.709113092244,6.0,16.225,15.0,21,0,39,9,1,0,4
1709261,2017-09-26,1,151.541843015799,7.0,15.725,12.0,10,0,39,9,2,0,4
1709271,2017-09-27,1,116.379484184452,7.0,16.575,10.0,61,0,39,9,3,0,4
1709281,2017-09-28,1,146.167521804,7.0,15.1125,7.0,21,0,39,9,4,0,4
1709291,2017-09-29,1,112.98521998769,2.0,19.1,6.0,10,0,39,9,5,0,4
1709301,2017-09-30,1,161.771261258553,7.0,15.1125,6.0,61,0,39,9,6,0,4
1710011,2017-10-01,1,60.9824772636814,2.0,16.2875,6.0,61,0,39,10,7,0,4
1710021,2017-10-02,1,179.554452580413,6.0,15.15,13.0,61,0,40,10,1,0,4
1710031,2017-10-03,1,66.3554760876056,5.0,14.2625,14.0,61,0,40,10,2,0,4
1710041,2017-10-04,1,125.991807553769,3.0,14.1375,13.0,0,0,40,10,3,0,4
1710051,2017-10-05,1,146.081884421956,2.0,14.0125,13.0,0,0,40,10,4,0,4
1710061,2017-10-06,1,143.098736564958,1.0,13.8875,13.0,3,0,40,10,5,0,4
1710071,2017-10-07,1,167.83160335014,7.0,10.65,10.0,61,0,40,10,6,0,4
1710081,2017-10-08,1,86.952830438685,0.0,12.025,12.0,5,0,40,10,7,0,4
1710091,2017-10-09,1,191.429657344589,5.0,12.475,8.0,20,0,41,10,1,0,4
1710101,2017-10-10,1,121.017707851263,7.0,14.05,9.0,63,0,41,10,2,0,4
